disease,biospecimen_samples,taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom,qualifier
silicosis,faeces,1506553,"[1506553, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,lachnoclostridium,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
silicosis,faeces,1869337,"[1869337, 2649774, 375288, 2005525, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2649774,Parabacteroides_sp.,parabacteroides,tannerellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
silicosis,faeces,287,"[287, 136841, 286, 135621, 72274, 1236, 1224, 2, 131567, 1]",136841,Pseudomonas_aeruginosa,pseudomonas,pseudomonadaceae,pseudomonadales,gammaproteobacteria,Pseudomonadota,,bacteria,reduced
silicosis,faeces,292632,"[292632, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,subdoligranulum,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
silicosis,faeces,572511,"[572511, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,blautia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
silicosis,faeces,41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,Bifidobacterium_sp.,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
silicosis,faeces,39948,"[39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,dialister,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
silicosis,faeces,46913,"[46913, 2831106, 356, 28211, 1224, 2, 131567, 1]",2831106,,devosia,devosiaceae,hyphomicrobiales,alphaproteobacteria,Pseudomonadota,,bacteria,reduced
silicosis,faeces,340117,"[340117, 171550, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171550,,ruminofilibacter,rikenellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
silicosis,faeces,85413,"[85413, 2831100, 356, 28211, 1224, 2, 131567, 1]",2831100,,bosea,boseaceae,hyphomicrobiales,alphaproteobacteria,Pseudomonadota,,bacteria,reduced
silicosis,faeces,1434010,"[1434010, 2805416, 2805415, 1760, 201174, 1783272, 2, 131567, 1]",2805416,,jatrophihabitans,jatrophihabitantaceae,jatrophihabitantales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
silicosis,faeces,156454,"[156454, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,anaeroglobus,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
systemic sclerosis,tissue biopsie,32008,"[32008, 119060, 80840, 28216, 1224, 2, 131567, 1]",119060,,burkholderia,burkholderiaceae,burkholderiales,betaproteobacteria,Pseudomonadota,,bacteria,elevated
systemic sclerosis,tissue biopsie,544,"[544, 543, 91347, 1236, 1224, 2, 131567, 1]",543,,citrobacter,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
systemic sclerosis,tissue biopsie,662,"[662, 641, 135623, 1236, 1224, 2, 131567, 1]",641,,vibrio,vibrionaceae,vibrionales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
systemic sclerosis,tissue biopsie,1743,"[1743, 31957, 85009, 1760, 201174, 1783272, 2, 131567, 1]",31957,,propionibacterium,propionibacteriaceae,propionibacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
systemic sclerosis,tissue biopsie,29387,"[29387, 91994, 1279, 90964, 1385, 91061, 1239, 1783272, 2, 131567, 1]",91994,Staphylococcus_sp.,staphylococcus,staphylococcaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
systemic sclerosis,tissue biopsie,55193,"[55193, 742845, 162474, 1538075, 452284, 5204, 451864, 4751, 33154, 2759, 131567, 1]",742845,,malassezia,malasseziaceae,malasseziales,malasseziomycetes,Basidiomycota,opisthokonta,eukaryota,reduced
systemic sclerosis,tissue biopsie,40272,"[40272, 10357, 3044472, 548681, 2731363, 2731361, 2731360, 2731341, 10239, 1]",10357,,roseolovirus,orthoherpesviridae,herpesvirales,herviviricetes,Peploviricota,duplodnaviria,viruses,elevated
crohn's disease,faeces,1262,"[1262, 2652281, 1257, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2652281,Peptostreptococcus_sp.,peptostreptococcus,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,469,"[469, 468, 2887326, 1236, 1224, 2, 131567, 1]",468,,acinetobacter,moraxellaceae,moraxellales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
crohn's disease,faeces,626929,"[626929, 816, 815, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",816,Bacteroides_clarus,bacteroides,bacteroidaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
crohn's disease,faeces,228654,"[228654, 497, 468, 2887326, 1236, 1224, 2, 131567, 1]",497,Psychrobacter_pulmonis,psychrobacter,moraxellaceae,moraxellales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
crohn's disease,faeces,346096,"[346096, 2005523, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2005523,,paludibacter,paludibacteraceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
crohn's disease,faeces,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,906,"[906, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,megasphaera,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,360807,"[360807, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,Roseburia_inulinivorans,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,84024,"[84024, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1485,Clostridium_disporicum,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,191303,"[191303, 2810281, 526525, 526524, 1239, 1783272, 2, 131567, 1]",2810281,,turicibacter,turicibacteraceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,384636,"[384636, 1649459, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1649459,Hungatella_xylanolytica,hungatella,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,41978,"[41978, 2608920, 1263, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2608920,Ruminococcus_sp.,ruminococcus,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,1304,"[1304, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus_salivarius,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,1265,"[1265, 1263, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1263,Ruminococcus_flavefaciens,ruminococcus,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,39488,"[39488, 2569097, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2569097,Anaerobutyricum_hallii,anaerobutyricum,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,52225,"[52225, 1843491, 909929, 909932, 1239, 1783272, 2, 131567, 1]",1843491,,mitsuokella,selenomonadaceae,selenomonadales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,1573535,"[1573535, 128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",128827,,holdemanella,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,1508657,"[1508657, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,ruminiclostridium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,191303,"[191303, 2810281, 526525, 526524, 1239, 1783272, 2, 131567, 1]",2810281,,turicibacter,turicibacteraceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,1304,"[1304, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",1301,Streptococcus_salivarius,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,84024,"[84024, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1485,Clostridium_disporicum,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,1591,"[1591, 2620435, 1578, 33958, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2620435,Lactobacillus_sp.,lactobacillus,lactobacillaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,33024,"[33024, 909930, 1843488, 909932, 1239, 1783272, 2, 131567, 1]",909930,,phascolarctobacterium,acidaminococcaceae,acidaminococcales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,1686,"[1686, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",1678,Bifidobacterium_catenulatum,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,1502,"[1502, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",1485,Clostridium_perfringens,clostridium,clostridiaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,360807,"[360807, 841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",841,Roseburia_inulinivorans,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,tissue biopsie,33038,"[33038, 2316020, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2316020,Mediterraneibacter_gnavus,mediterraneibacter,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,29317,"[29317, 2609248, 1654, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2609248,Actinomyces_sp.,actinomyces,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,1573536,"[1573536, 128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",128827,,faecalicoccus,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,1505657,"[1505657, 186804, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186804,,intestinibacter,peptostreptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,204475,"[204475, 538999, 186802, 186801, 1239, 1783272, 2, 131567, 1]",538999,,gemmiger,,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,lachnospira,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,44748,"[44748, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,sporobacter,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,33042,"[33042, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,coprococcus,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,572511,"[572511, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,blautia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
crohn's disease,faeces,553372,"[553372, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,asaccharobacter,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,41978,"[41978, 2608920, 1263, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2608920,Ruminococcus_sp.,ruminococcus,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
crohn's disease,faeces,459786,"[459786, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,oscillibacter,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
ulcerative colitis,faeces,204475,"[204475, 538999, 186802, 186801, 1239, 1783272, 2, 131567, 1]",538999,,gemmiger,,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
ulcerative colitis,faeces,28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,lachnospira,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
ulcerative colitis,faeces,44748,"[44748, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,sporobacter,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
ulcerative colitis,faeces,29317,"[29317, 2609248, 1654, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2609248,Actinomyces_sp.,actinomyces,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
ulcerative colitis,faeces,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
ulcerative colitis,faeces,1573536,"[1573536, 128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",128827,,faecalicoccus,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
ulcerative colitis,faeces,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
ulcerative colitis,faeces,41200,"[41200, 2608897, 1678, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",2608897,Bifidobacterium_sp.,bifidobacterium,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
ulcerative colitis,faeces,264995,"[264995, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186806,,anaerofustis,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
ulcerative colitis,faeces,1378,"[1378, 539738, 1385, 91061, 1239, 1783272, 2, 131567, 1]",539738,,gemella,gemellaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,29317,"[29317, 2609248, 1654, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2609248,Actinomyces_sp.,actinomyces,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,1573536,"[1573536, 128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",128827,,faecalicoccus,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,128827,"[128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",526525,,,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,264995,"[264995, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186806,,anaerofustis,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
multiple sclerosis,faeces,204475,"[204475, 538999, 186802, 186801, 1239, 1783272, 2, 131567, 1]",538999,,gemmiger,,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,lachnospira,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,44748,"[44748, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,sporobacter,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
multiple sclerosis,faeces,39948,"[39948, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,dialister,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
rheumatoid arthritis,faeces,204475,"[204475, 538999, 186802, 186801, 1239, 1783272, 2, 131567, 1]",538999,,gemmiger,,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
rheumatoid arthritis,faeces,28050,"[28050, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,lachnospira,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
rheumatoid arthritis,faeces,44748,"[44748, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,sporobacter,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
rheumatoid arthritis,faeces,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
rheumatoid arthritis,faeces,264995,"[264995, 186806, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186806,,anaerofustis,eubacteriaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
rheumatoid arthritis,faeces,29317,"[29317, 2609248, 1654, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2609248,Actinomyces_sp.,actinomyces,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
rheumatoid arthritis,faeces,84111,"[84111, 1643826, 1643822, 84998, 201174, 1783272, 2, 131567, 1]",1643826,,eggerthella,eggerthellaceae,eggerthellales,coriobacteriia,Actinomycetota,terrabacteria group,bacteria,elevated
rheumatoid arthritis,faeces,1573536,"[1573536, 128827, 526525, 526524, 1239, 1783272, 2, 131567, 1]",128827,,faecalicoccus,erysipelotrichaceae,erysipelotrichales,erysipelotrichia,Bacillota,terrabacteria group,bacteria,elevated
rheumatoid arthritis,faeces,1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,Streptococcus_sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
rheumatoid arthritis,faeces,1378,"[1378, 539738, 1385, 91061, 1239, 1783272, 2, 131567, 1]",539738,,gemella,gemellaceae,bacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
rheumatoid arthritis,faeces,32207,"[32207, 1268, 85006, 1760, 201174, 1783272, 2, 131567, 1]",1268,,rothia,micrococcaceae,micrococcales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
cervical cancer,faeces,33024,"[33024, 909930, 1843488, 909932, 1239, 1783272, 2, 131567, 1]",909930,,phascolarctobacterium,acidaminococcaceae,acidaminococcales,negativicutes,Bacillota,terrabacteria group,bacteria,reduced
cervical cancer,faeces,2745,"[2745, 28256, 135619, 1236, 1224, 2, 131567, 1]",28256,,halomonas,halomonadaceae,oceanospirillales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
cervical cancer,faeces,83770,"[83770, 83763, 135624, 1236, 1224, 2, 131567, 1]",83763,,succinivibrio,succinivibrionaceae,aeromonadales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
cervical cancer,faeces,41978,"[41978, 2608920, 1263, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2608920,Ruminococcus_sp.,ruminococcus,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
cervical cancer,faeces,581,"[581, 1903414, 91347, 1236, 1224, 2, 131567, 1]",1903414,,morganella,morganellaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
cervical cancer,faeces,22,"[22, 267890, 135622, 1236, 1224, 2, 131567, 1]",267890,,shewanella,shewanellaceae,alteromonadales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
cervical cancer,faeces,229037,"[229037, 257482, 583, 1903414, 91347, 1236, 1224, 2, 131567, 1]",257482,Proteus_sp._(in:_enterobacteria),proteus,morganellaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
cervical cancer,faeces,189330,"[189330, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,dorea,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
cervical cancer,faeces,841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
alcoholism,oral wash,29317,"[29317, 2609248, 1654, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2609248,Actinomyces_sp.,actinomyces,actinomycetaceae,actinomycetales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
alcoholism,oral wash,32067,"[32067, 1129771, 203491, 203490, 32066, 2, 131567, 1]",1129771,,leptotrichia,leptotrichiaceae,fusobacteriales,fusobacteriia,Fusobacteriota,,bacteria,elevated
alcoholism,oral wash,2717,"[2717, 868, 135615, 1236, 1224, 2, 131567, 1]",868,,cardiobacterium,cardiobacteriaceae,cardiobacteriales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
alcoholism,oral wash,482,"[482, 481, 206351, 28216, 1224, 2, 131567, 1]",481,,neisseria,neisseriaceae,neisseriales,betaproteobacteria,Pseudomonadota,,bacteria,elevated
alcoholism,oral wash,2740,"[2740, 186807, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186807,,peptococcus,peptococcaceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
alcoholism,oral wash,836,"[836, 171551, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171551,,porphyromonas,porphyromonadaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,reduced
alcoholism,oral wash,196082,"[196082, 31953, 85004, 1760, 201174, 1783272, 2, 131567, 1]",31953,,parascardovia,bifidobacteriaceae,bifidobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
alcoholism,oral wash,186803,"[186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186802,,,lachnospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,reduced
alcoholism,oral wash,1716,"[1716, 1653, 85007, 1760, 201174, 1783272, 2, 131567, 1]",1653,,corynebacterium,corynebacteriaceae,mycobacteriales,actinomycetes,Actinomycetota,terrabacteria group,bacteria,elevated
alcoholism,oral wash,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
alcoholism,oral wash,416916,"[416916, 712, 135625, 1236, 1224, 2, 131567, 1]",712,,aggregatibacter,pasteurellaceae,pasteurellales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
alcoholism,oral wash,538,"[538, 481, 206351, 28216, 1224, 2, 131567, 1]",481,,eikenella,neisseriaceae,neisseriales,betaproteobacteria,Pseudomonadota,,bacteria,elevated
hepatocellular cancer,faeces,229037,"[229037, 257482, 583, 1903414, 91347, 1236, 1224, 2, 131567, 1]",257482,Proteus_sp._(in:_enterobacteria),proteus,morganellaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
hepatocellular cancer,faeces,29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,Bacillota,terrabacteria group,bacteria,elevated
hepatocellular cancer,faeces,292632,"[292632, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,subdoligranulum,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
hepatocellular cancer,faeces,59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,Prevotella_sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
hepatocellular cancer,faeces,397864,"[397864, 2005519, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2005519,,barnesiella,barnesiellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
hepatocellular cancer,faeces,625,"[625, 2629414, 620, 543, 91347, 1236, 1224, 2, 131567, 1]",2629414,Shigella_sp.,shigella,enterobacteriaceae,enterobacterales,gammaproteobacteria,Pseudomonadota,,bacteria,elevated
hepatocellular cancer,faeces,35783,"[35783, 2608891, 1350, 81852, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608891,Enterococcus_sp.,enterococcus,enterococcaceae,lactobacillales,bacilli,Bacillota,terrabacteria group,bacteria,elevated
hepatocellular cancer,faeces,1283313,"[1283313, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",171552,,alloprevotella,prevotellaceae,bacteroidales,bacteroidia,Bacteroidota,fcb group,bacteria,elevated
hepatocellular cancer,faeces,216851,"[216851, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,faecalibacterium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
hepatocellular cancer,faeces,1508657,"[1508657, 216572, 186802, 186801, 1239, 1783272, 2, 131567, 1]",216572,,ruminiclostridium,oscillospiraceae,eubacteriales,clostridia,Bacillota,terrabacteria group,bacteria,elevated
